gr17.tsp 5 17 200 0.1 0.9 OX SWP TUR ECH NCH 1000 0 2085 No optimal path
totalCost;error;time;PopulationNumber;pm;pk;cross;mutate;select;success;stop;stopCounter;optimalPathSize;maxErrorRatio
2093;0.393285;0;100;0.1;0.7;OX;SWP;DUE;FCH;NCH;1000;2085;0
2312;10.8873;0;100;0.1;0.7;PMX;SWP;DUE;FCH;NCH;1000;2085;0
2149;3.09832;0;100;0.1;0.7;OX;SWP;DUE;FCH;GEN;1000;2085;0
2244;7.66427;0;100;0.1;0.7;PMX;SWP;DUE;FCH;GEN;1000;2085;0
2120;1.67866;0;100;0.1;0.7;OX;SWP;DUE;ECH;NCH;1000;2085;0
2250;7.91367;0;100;0.1;0.7;PMX;SWP;DUE;ECH;NCH;1000;2085;0
2161;3.67386;0;100;0.1;0.7;OX;SWP;DUE;ECH;GEN;1000;2085;0
2178;4.47962;0;100;0.1;0.7;PMX;SWP;DUE;ECH;GEN;1000;2085;0
2125;1.93765;0;100;0.1;0.7;OX;SWP;TUR;FCH;NCH;1000;2085;0
2162;3.72182;0;100;0.1;0.7;PMX;SWP;TUR;FCH;NCH;1000;2085;0
2198;5.43885;0;100;0.1;0.7;OX;SWP;TUR;FCH;GEN;1000;2085;0
2132;2.2542;0;100;0.1;0.7;PMX;SWP;TUR;FCH;GEN;1000;2085;0
2243;7.59712;0;100;0.1;0.7;OX;SWP;TUR;ECH;NCH;1000;2085;0
2159;3.58753;0;100;0.1;0.7;PMX;SWP;TUR;ECH;NCH;1000;2085;0
2177;4.41247;0;100;0.1;0.7;OX;SWP;TUR;ECH;GEN;1000;2085;0
2220;6.5036;0;100;0.1;0.7;PMX;SWP;TUR;ECH;GEN;1000;2085;0
2088;0.143885;0;100;0.1;0.9;OX;SWP;DUE;FCH;NCH;1000;2085;0
2222;6.60911;0;100;0.1;0.9;PMX;SWP;DUE;FCH;NCH;1000;2085;0
2089;0.220624;0;100;0.1;0.9;OX;SWP;DUE;FCH;GEN;1000;2085;0
2299;10.283;0;100;0.1;0.9;PMX;SWP;DUE;FCH;GEN;1000;2085;0
2111;1.26619;0;100;0.1;0.9;OX;SWP;DUE;ECH;NCH;1000;2085;0
2242;7.55875;0;100;0.1;0.9;PMX;SWP;DUE;ECH;NCH;1000;2085;0
