gr48.tsp.txt 5 48 200 0.1 0.9 OX SWP TUR ECH NCH 1000 0 5046 No optimal path
totalCost;error;time;PopulationNumber;pm;pk;cross;mutate;select;success;stop;stopCounter;optimalPathSize;maxErrorRatio
5713;13.2184;1;100;0.1;0.7;OX;SWP;DUE;FCH;NCH;1000;5046;0
6666;32.1165;1;100;0.1;0.7;PMX;SWP;DUE;FCH;NCH;1000;5046;0
6259;24.0428;0;100;0.1;0.7;OX;SWP;DUE;FCH;GEN;1000;5046;0
7550;49.6354;0;100;0.1;0.7;PMX;SWP;DUE;FCH;GEN;1000;5046;0
6313;25.1249;1;100;0.1;0.7;OX;SWP;DUE;ECH;NCH;1000;5046;0
7165;41.9937;1;100;0.1;0.7;PMX;SWP;DUE;ECH;NCH;1000;5046;0
6911;36.9639;0;100;0.1;0.7;OX;SWP;DUE;ECH;GEN;1000;5046;0
8154;61.5973;0;100;0.1;0.7;PMX;SWP;DUE;ECH;GEN;1000;5046;0
7013;38.9853;1;100;0.1;0.7;OX;SWP;TUR;FCH;NCH;1000;5046;0
7721;53.0281;1;100;0.1;0.7;PMX;SWP;TUR;FCH;NCH;1000;5046;0
7380;46.2663;0;100;0.1;0.7;OX;SWP;TUR;FCH;GEN;1000;5046;0
7839;55.3627;0;100;0.1;0.7;PMX;SWP;TUR;FCH;GEN;1000;5046;0
6838;35.5133;2;100;0.1;0.7;OX;SWP;TUR;ECH;NCH;1000;5046;0
6707;32.933;2;100;0.1;0.7;PMX;SWP;TUR;ECH;NCH;1000;5046;0
7535;49.3262;0;100;0.1;0.7;OX;SWP;TUR;ECH;GEN;1000;5046;0
7790;54.3876;0;100;0.1;0.7;PMX;SWP;TUR;ECH;GEN;1000;5046;0
5589;10.765;1;100;0.1;0.9;OX;SWP;DUE;FCH;NCH;1000;5046;0
7247;43.6266;1;100;0.1;0.9;PMX;SWP;DUE;FCH;NCH;1000;5046;0
6427;27.3841;0;100;0.1;0.9;OX;SWP;DUE;FCH;GEN;1000;5046;0
7606;50.7333;0;100;0.1;0.9;PMX;SWP;DUE;FCH;GEN;1000;5046;0
6090;20.7055;1;100;0.1;0.9;OX;SWP;DUE;ECH;NCH;1000;5046;0
6740;33.583;1;100;0.1;0.9;PMX;SWP;DUE;ECH;NCH;1000;5046;0
6321;25.2834;0;100;0.1;0.9;OX;SWP;DUE;ECH;GEN;1000;5046;0
8148;61.4863;0;100;0.1;0.9;PMX;SWP;DUE;ECH;GEN;1000;5046;0
6690;32.5961;1;100;0.1;0.9;OX;SWP;TUR;FCH;NCH;1000;5046;0
6975;38.2323;2;100;0.1;0.9;PMX;SWP;TUR;FCH;NCH;1000;5046;0
7522;49.0686;0;100;0.1;0.9;OX;SWP;TUR;FCH;GEN;1000;5046;0
7758;53.7614;0;100;0.1;0.9;PMX;SWP;TUR;FCH;GEN;1000;5046;0
7084;40.4043;2;100;0.1;0.9;OX;SWP;TUR;ECH;NCH;1000;5046;0
