ftv33.atsp.txt 5 44 200 0.1 0.9 OX SWP TUR ECH NCH 1000 0 1286 No optimal path
totalCost;error;time;PopulationNumber;pm;pk;cross;mutate;select;success;stop;stopCounter;optimalPathSize;maxErrorRatio
1506;17.1695;0;100;0.1;0.7;OX;SWP;DUE;FCH;NCH;1000;1286;0
1766;37.3717;0;100;0.1;0.7;PMX;SWP;DUE;FCH;NCH;1000;1286;0
1683;30.902;0;100;0.1;0.7;OX;SWP;DUE;FCH;GEN;1000;1286;0
1925;49.7356;0;100;0.1;0.7;PMX;SWP;DUE;FCH;GEN;1000;1286;0
1592;23.8103;0;100;0.1;0.7;OX;SWP;DUE;ECH;NCH;1000;1286;0
1792;39.3624;0;100;0.1;0.7;PMX;SWP;DUE;ECH;NCH;1000;1286;0
1670;29.9067;0;100;0.1;0.7;OX;SWP;DUE;ECH;GEN;1000;1286;0
1857;44.4012;0;100;0.1;0.7;PMX;SWP;DUE;ECH;GEN;1000;1286;0
1696;31.8818;1;100;0.1;0.7;OX;SWP;TUR;FCH;NCH;1000;1286;0
1808;40.591;1;100;0.1;0.7;PMX;SWP;TUR;FCH;NCH;1000;1286;0
1713;33.2504;0;100;0.1;0.7;OX;SWP;TUR;FCH;GEN;1000;1286;0
1926;49.8289;0;100;0.1;0.7;PMX;SWP;TUR;FCH;GEN;1000;1286;0
1771;37.7138;1;100;0.1;0.7;OX;SWP;TUR;ECH;NCH;1000;1286;0
1820;41.5863;1;100;0.1;0.7;PMX;SWP;TUR;ECH;NCH;1000;1286;0
1772;37.8072;0;100;0.1;0.7;OX;SWP;TUR;ECH;GEN;1000;1286;0
2030;57.8849;0;100;0.1;0.7;PMX;SWP;TUR;ECH;GEN;1000;1286;0
1488;15.7387;0;100;0.1;0.9;OX;SWP;DUE;FCH;NCH;1000;1286;0
1850;43.9191;0;100;0.1;0.9;PMX;SWP;DUE;FCH;NCH;1000;1286;0
1671;29.9378;0;100;0.1;0.9;OX;SWP;DUE;FCH;GEN;1000;1286;0
1812;40.9642;0;100;0.1;0.9;PMX;SWP;DUE;FCH;GEN;1000;1286;0
1784;38.7869;0;100;0.1;0.9;OX;SWP;DUE;ECH;NCH;1000;1286;0
1748;35.9876;0;100;0.1;0.9;PMX;SWP;DUE;ECH;NCH;1000;1286;0
1747;35.8942;0;100;0.1;0.9;OX;SWP;DUE;ECH;GEN;1000;1286;0
2020;57.1229;0;100;0.1;0.9;PMX;SWP;DUE;ECH;GEN;1000;1286;0
1748;35.972;1;100;0.1;0.9;OX;SWP;TUR;FCH;NCH;1000;1286;0
1815;41.1664;1;100;0.1;0.9;PMX;SWP;TUR;FCH;NCH;1000;1286;0
1678;30.4821;0;100;0.1;0.9;OX;SWP;TUR;FCH;GEN;1000;1286;0
1905;48.1804;0;100;0.1;0.9;PMX;SWP;TUR;FCH;GEN;1000;1286;0
1692;31.633;1;100;0.1;0.9;OX;SWP;TUR;ECH;NCH;1000;1286;0
1765;37.2473;1;100;0.1;0.9;PMX;SWP;TUR;ECH;NCH;1000;1286;0
1820;41.5863;0;100;0.1;0.9;OX;SWP;TUR;ECH;GEN;1000;1286;0
1955;52.084;0;100;0.1;0.9;PMX;SWP;TUR;ECH;GEN;1000;1286;0
1483;15.3499;0;100;0.3;0.7;OX;SWP;DUE;FCH;NCH;1000;1286;0
1757;36.6719;0;100;0.3;0.7;PMX;SWP;DUE;FCH;NCH;1000;1286;0
1636;27.2784;0;100;0.3;0.7;OX;SWP;DUE;FCH;GEN;1000;1286;0
1752;36.283;0;100;0.3;0.7;PMX;SWP;DUE;FCH;GEN;1000;1286;0
1577;22.6594;0;100;0.3;0.7;OX;SWP;DUE;ECH;NCH;1000;1286;0
1777;38.1804;1;100;0.3;0.7;PMX;SWP;DUE;ECH;NCH;1000;1286;0
1723;33.9813;0;100;0.3;0.7;OX;SWP;DUE;ECH;GEN;1000;1286;0
1844;43.437;0;100;0.3;0.7;PMX;SWP;DUE;ECH;GEN;1000;1286;0
1728;34.4323;1;100;0.3;0.7;OX;SWP;TUR;FCH;NCH;1000;1286;0
1810;40.7776;1;100;0.3;0.7;PMX;SWP;TUR;FCH;NCH;1000;1286;0
1763;37.154;0;100;0.3;0.7;OX;SWP;TUR;FCH;GEN;1000;1286;0
1794;39.5179;0;100;0.3;0.7;PMX;SWP;TUR;FCH;GEN;1000;1286;0
1689;31.3997;1;100;0.3;0.7;OX;SWP;TUR;ECH;NCH;1000;1286;0
1808;40.6532;1;100;0.3;0.7;PMX;SWP;TUR;ECH;NCH;1000;1286;0
1850;43.9036;0;100;0.3;0.7;OX;SWP;TUR;ECH;GEN;1000;1286;0
1790;39.1913;0;100;0.3;0.7;PMX;SWP;TUR;ECH;GEN;1000;1286;0
1548;20.3733;0;100;0.3;0.9;OX;SWP;DUE;FCH;NCH;1000;1286;0
1720;33.7792;0;100;0.3;0.9;PMX;SWP;DUE;FCH;NCH;1000;1286;0
1660;29.1135;0;100;0.3;0.9;OX;SWP;DUE;FCH;GEN;1000;1286;0
1741;35.3966;0;100;0.3;0.9;PMX;SWP;DUE;FCH;GEN;1000;1286;0
1614;25.521;0;100;0.3;0.9;OX;SWP;DUE;ECH;NCH;1000;1286;0
1841;43.1882;1;100;0.3;0.9;PMX;SWP;DUE;ECH;NCH;1000;1286;0
