gr24.tsp 5 24 200 0.1 0.9 OX SWP TUR ECH NCH 1000 0 1272 No optimal path
totalCost;error;time;PopulationNumber;pm;pk;cross;mutate;select;success;stop;stopCounter;optimalPathSize;maxErrorRatio
1363;7.16981;0;100;0.1;0.7;OX;SWP;DUE;FCH;NCH;1000;1272;0
1464;15.0943;0;100;0.1;0.7;PMX;SWP;DUE;FCH;NCH;1000;1272;0
1375;8.11321;0;100;0.1;0.7;OX;SWP;DUE;FCH;GEN;1000;1272;0
1510;18.7421;0;100;0.1;0.7;PMX;SWP;DUE;FCH;GEN;1000;1272;0
1455;14.4182;0;100;0.1;0.7;OX;SWP;DUE;ECH;NCH;1000;1272;0
1509;18.6792;0;100;0.1;0.7;PMX;SWP;DUE;ECH;NCH;1000;1272;0
1437;12.9874;0;100;0.1;0.7;OX;SWP;DUE;ECH;GEN;1000;1272;0
1621;27.5;0;100;0.1;0.7;PMX;SWP;DUE;ECH;GEN;1000;1272;0
1555;22.2956;0;100;0.1;0.7;OX;SWP;TUR;FCH;NCH;1000;1272;0
1463;15.0314;0;100;0.1;0.7;PMX;SWP;TUR;FCH;NCH;1000;1272;0
1444;13.5849;0;100;0.1;0.7;OX;SWP;TUR;FCH;GEN;1000;1272;0
1500;17.9245;0;100;0.1;0.7;PMX;SWP;TUR;FCH;GEN;1000;1272;0
1450;13.9937;1;100;0.1;0.7;OX;SWP;TUR;ECH;NCH;1000;1272;0
1466;15.2516;1;100;0.1;0.7;PMX;SWP;TUR;ECH;NCH;1000;1272;0
1543;21.305;0;100;0.1;0.7;OX;SWP;TUR;ECH;GEN;1000;1272;0
1658;30.3616;0;100;0.1;0.7;PMX;SWP;TUR;ECH;GEN;1000;1272;0
1330;4.59119;0;100;0.1;0.9;OX;SWP;DUE;FCH;NCH;1000;1272;0
1514;19.0723;0;100;0.1;0.9;PMX;SWP;DUE;FCH;NCH;1000;1272;0
1434;12.7358;0;100;0.1;0.9;OX;SWP;DUE;FCH;GEN;1000;1272;0
1554;22.2013;0;100;0.1;0.9;PMX;SWP;DUE;FCH;GEN;1000;1272;0
1423;11.8868;0;100;0.1;0.9;OX;SWP;DUE;ECH;NCH;1000;1272;0
1508;18.6164;0;100;0.1;0.9;PMX;SWP;DUE;ECH;NCH;1000;1272;0
1464;15.1415;0;100;0.1;0.9;OX;SWP;DUE;ECH;GEN;1000;1272;0
1543;21.3208;0;100;0.1;0.9;PMX;SWP;DUE;ECH;GEN;1000;1272;0
1471;15.6447;0;100;0.1;0.9;OX;SWP;TUR;FCH;NCH;1000;1272;0
1516;19.1981;0;100;0.1;0.9;PMX;SWP;TUR;FCH;NCH;1000;1272;0
1501;18.0189;0;100;0.1;0.9;OX;SWP;TUR;FCH;GEN;1000;1272;0
1530;20.283;0;100;0.1;0.9;PMX;SWP;TUR;FCH;GEN;1000;1272;0
1490;17.1384;1;100;0.1;0.9;OX;SWP;TUR;ECH;NCH;1000;1272;0
1539;21.022;1;100;0.1;0.9;PMX;SWP;TUR;ECH;NCH;1000;1272;0
1603;26.0535;0;100;0.1;0.9;OX;SWP;TUR;ECH;GEN;1000;1272;0
1529;20.2516;0;100;0.1;0.9;PMX;SWP;TUR;ECH;GEN;1000;1272;0
1344;5.69182;0;100;0.3;0.7;OX;SWP;DUE;FCH;NCH;1000;1272;0
1468;15.4245;0;100;0.3;0.7;PMX;SWP;DUE;FCH;NCH;1000;1272;0
1351;6.24214;0;100;0.3;0.7;OX;SWP;DUE;FCH;GEN;1000;1272;0
1388;9.1195;0;100;0.3;0.7;PMX;SWP;DUE;FCH;GEN;1000;1272;0
1333;4.84277;0;100;0.3;0.7;OX;SWP;DUE;ECH;NCH;1000;1272;0
1388;9.15094;0;100;0.3;0.7;PMX;SWP;DUE;ECH;NCH;1000;1272;0
1395;9.70126;0;100;0.3;0.7;OX;SWP;DUE;ECH;GEN;1000;1272;0
1508;18.5692;0;100;0.3;0.7;PMX;SWP;DUE;ECH;GEN;1000;1272;0
1433;12.7201;0;100;0.3;0.7;OX;SWP;TUR;FCH;NCH;1000;1272;0
1557;22.4214;0;100;0.3;0.7;PMX;SWP;TUR;FCH;NCH;1000;1272;0
1583;24.4969;0;100;0.3;0.7;OX;SWP;TUR;FCH;GEN;1000;1272;0
1484;16.7138;0;100;0.3;0.7;PMX;SWP;TUR;FCH;GEN;1000;1272;0
1516;19.2138;1;100;0.3;0.7;OX;SWP;TUR;ECH;NCH;1000;1272;0
1447;13.805;1;100;0.3;0.7;PMX;SWP;TUR;ECH;NCH;1000;1272;0
1447;13.8208;0;100;0.3;0.7;OX;SWP;TUR;ECH;GEN;1000;1272;0
1533;20.5346;0;100;0.3;0.7;PMX;SWP;TUR;ECH;GEN;1000;1272;0
