gr48.tsp 1 48 200 0.1 0.9 OX SWP TUR ECH NCH 1000 0 5046 No optimal path
totalCost;error;time
6101;	20.9076;	2;100;0.1;0.7;PMX;INV;TUR;ECH;GEN;5046;0
5929;	17.499;	1;100;0.1;0.7;OX;INV;TUR;ECH;GEN;5046;0
5804;	15.0218;	2;100;0.1;0.7;PMX;INV;TUR;ECH;NCH;5046;0
6725;	33.2739;	2;100;0.1;0.7;OX;INV;TUR;ECH;NCH;5046;0
6337;	25.5846;	2;100;0.1;0.7;PMX;INV;TUR;FCH;GEN;5046;0
7839;	55.3508;	1;100;0.1;0.7;OX;INV;TUR;FCH;GEN;5046;0
6714;	33.0559;	2;100;0.1;0.7;PMX;INV;TUR;FCH;NCH;5046;0
6664;	32.065;	1;100;0.1;0.7;OX;INV;TUR;FCH;NCH;5046;0
5809;	15.1209;	1;100;0.1;0.7;PMX;INV;DUE;ECH;GEN;5046;0
5747;	13.8922;	1;100;0.1;0.7;OX;INV;DUE;ECH;GEN;5046;0
7508;	48.7911;	3;100;0.1;0.7;PMX;INV;DUE;ECH;NCH;5046;0
5558;	10.1467;	2;100;0.1;0.7;OX;INV;DUE;ECH;NCH;5046;0
5894;	16.8054;	1;100;0.1;0.7;PMX;INV;DUE;FCH;GEN;5046;0
5212;	3.28973;	0;100;0.1;0.7;OX;INV;DUE;FCH;GEN;5046;0
6121;	21.304;	1;100;0.1;0.7;PMX;INV;DUE;FCH;NCH;5046;0
5362;	6.26239;	2;100;0.1;0.7;OX;INV;DUE;FCH;NCH;5046;0
6768;	34.126;	1;100;0.1;0.7;PMX;INV;TUR;ECH;GEN;5046;0
6682;	32.4217;	1;100;0.1;0.7;OX;INV;TUR;ECH;GEN;5046;0
6718;	33.1352;	2;100;0.1;0.7;PMX;INV;TUR;ECH;NCH;5046;0
6899;	36.7222;	2;100;0.1;0.7;OX;INV;TUR;ECH;NCH;5046;0
6378;	26.3971;	1;100;0.1;0.7;PMX;INV;TUR;FCH;GEN;5046;0
6857;	35.8898;	1;100;0.1;0.7;OX;INV;TUR;FCH;GEN;5046;0
6522;	29.2509;	1;100;0.1;0.7;PMX;INV;TUR;FCH;NCH;5046;0
6062;	20.1348;	1;100;0.1;0.7;OX;INV;TUR;FCH;NCH;5046;0
6240;	23.6623;	1;100;0.1;0.7;PMX;INV;DUE;ECH;GEN;5046;0
6176;	22.394;	1;100;0.1;0.7;OX;INV;DUE;ECH;GEN;5046;0
6661;	32.0055;	2;100;0.1;0.7;PMX;INV;DUE;ECH;NCH;5046;0
5592;	10.8205;	1;100;0.1;0.7;OX;INV;DUE;ECH;NCH;5046;0
6292;	24.6928;	1;100;0.1;0.7;PMX;INV;DUE;FCH;GEN;5046;0
5546;	9.90884;	0;100;0.1;0.7;OX;INV;DUE;FCH;GEN;5046;0
6593;	30.6579;	2;100;0.1;0.7;PMX;INV;DUE;FCH;NCH;5046;0
5497;	8.93777;	1;100;0.1;0.7;OX;INV;DUE;FCH;NCH;5046;0
6483;	28.478;	1;100;0.1;0.9;PMX;INV;TUR;ECH;GEN;5046;0
6850;	35.7511;	1;100;0.1;0.9;OX;INV;TUR;ECH;GEN;5046;0
6775;	34.2648;	3;100;0.1;0.9;PMX;INV;TUR;ECH;NCH;5046;0
6105;	20.9869;	2;100;0.1;0.9;OX;INV;TUR;ECH;NCH;5046;0
5941;	17.7368;	1;100;0.1;0.9;PMX;INV;TUR;FCH;GEN;5046;0
7010;	38.9219;	1;100;0.1;0.9;OX;INV;TUR;FCH;GEN;5046;0
6846;	35.6718;	2;100;0.1;0.9;PMX;INV;TUR;FCH;NCH;5046;0
6239;	23.6425;	1;100;0.1;0.9;OX;INV;TUR;FCH;NCH;5046;0
6076;	20.4122;	1;100;0.1;0.9;PMX;INV;DUE;ECH;GEN;5046;0
6506;	28.9338;	1;100;0.1;0.9;OX;INV;DUE;ECH;GEN;5046;0
6086;	20.6104;	2;100;0.1;0.9;PMX;INV;DUE;ECH;NCH;5046;0
6249;	23.8407;	1;100;0.1;0.9;OX;INV;DUE;ECH;NCH;5046;0
5855;	16.0325;	1;100;0.1;0.9;PMX;INV;DUE;FCH;GEN;5046;0
5286;	4.75624;	0;100;0.1;0.9;OX;INV;DUE;FCH;GEN;5046;0
6133;	21.5418;	2;100;0.1;0.9;PMX;INV;DUE;FCH;NCH;5046;0
5723;	13.4166;	2;100;0.1;0.9;OX;INV;DUE;FCH;NCH;5046;0
6340;	25.6441;	1;100;0.1;0.9;PMX;INV;TUR;ECH;GEN;5046;0
6501;	28.8347;	1;100;0.1;0.9;OX;INV;TUR;ECH;GEN;5046;0
7446;	47.5624;	2;100;0.1;0.9;PMX;INV;TUR;ECH;NCH;5046;0
6838;	35.5133;	2;100;0.1;0.9;OX;INV;TUR;ECH;NCH;5046;0
5921;	17.3405;	1;100;0.1;0.9;PMX;INV;TUR;FCH;GEN;5046;0
6610;	30.9948;	1;100;0.1;0.9;OX;INV;TUR;FCH;GEN;5046;0
7485;	48.3353;	2;100;0.1;0.9;PMX;INV;TUR;FCH;NCH;5046;0
6465;	28.1213;	1;100;0.1;0.9;OX;INV;TUR;FCH;NCH;5046;0
6018;	19.2628;	1;100;0.1;0.9;PMX;INV;DUE;ECH;GEN;5046;0
6628;	31.3516;	1;100;0.1;0.9;OX;INV;DUE;ECH;GEN;5046;0
6791;	34.5818;	1;100;0.1;0.9;PMX;INV;DUE;ECH;NCH;5046;0
5569;	10.3646;	1;100;0.1;0.9;OX;INV;DUE;ECH;NCH;5046;0
6049;	19.8771;	1;100;0.1;0.9;PMX;INV;DUE;FCH;GEN;5046;0
5797;	14.8831;	0;100;0.1;0.9;OX;INV;DUE;FCH;GEN;5046;0
6268;	24.2172;	2;100;0.1;0.9;PMX;INV;DUE;FCH;NCH;5046;0
5928;	17.4792;	1;100;0.1;0.9;OX;INV;DUE;FCH;NCH;5046;0
7644;	51.4863;	1;100;0.3;0.7;PMX;INV;TUR;ECH;GEN;5046;0
5656;	12.0888;	1;100;0.3;0.7;OX;INV;TUR;ECH;GEN;5046;0
6058;	20.0555;	2;100;0.3;0.7;PMX;INV;TUR;ECH;NCH;5046;0
5700;	12.9608;	1;100;0.3;0.7;OX;INV;TUR;ECH;NCH;5046;0
6412;	27.0709;	1;100;0.3;0.7;PMX;INV;TUR;FCH;GEN;5046;0
6156;	21.9976;	1;100;0.3;0.7;OX;INV;TUR;FCH;GEN;5046;0
6387;	26.5755;	1;100;0.3;0.7;PMX;INV;TUR;FCH;NCH;5046;0
6128;	21.4427;	1;100;0.3;0.7;OX;INV;TUR;FCH;NCH;5046;0
5757;	14.0904;	1;100;0.3;0.7;PMX;INV;DUE;ECH;GEN;5046;0
6531;	29.4293;	1;100;0.3;0.7;OX;INV;DUE;ECH;GEN;5046;0
5729;	13.5355;	3;100;0.3;0.7;PMX;INV;DUE;ECH;NCH;5046;0
5525;	9.49267;	2;100;0.3;0.7;OX;INV;DUE;ECH;NCH;5046;0
6275;	24.3559;	1;100;0.3;0.7;PMX;INV;DUE;FCH;GEN;5046;0
5286;	4.75624;	0;100;0.3;0.7;OX;INV;DUE;FCH;GEN;5046;0
6543;	29.6671;	1;100;0.3;0.7;PMX;INV;DUE;FCH;NCH;5046;0
5547;	9.92866;	1;100;0.3;0.7;OX;INV;DUE;FCH;NCH;5046;0
6857;	35.8898;	1;100;0.3;0.7;PMX;INV;TUR;ECH;GEN;5046;0
6352;	25.8819;	1;100;0.3;0.7;OX;INV;TUR;ECH;GEN;5046;0
6223;	23.3254;	2;100;0.3;0.7;PMX;INV;TUR;ECH;NCH;5046;0
5931;	17.5386;	2;100;0.3;0.7;OX;INV;TUR;ECH;NCH;5046;0
6049;	19.8771;	1;100;0.3;0.7;PMX;INV;TUR;FCH;GEN;5046;0
6212;	23.1074;	1;100;0.3;0.7;OX;INV;TUR;FCH;GEN;5046;0
6544;	29.6869;	2;100;0.3;0.7;PMX;INV;TUR;FCH;NCH;5046;0
6343;	25.7035;	1;100;0.3;0.7;OX;INV;TUR;FCH;NCH;5046;0
6550;	29.8058;	1;100;0.3;0.7;PMX;INV;DUE;ECH;GEN;5046;0
5270;	4.43916;	1;100;0.3;0.7;OX;INV;DUE;ECH;GEN;5046;0
6197;	22.8101;	2;100;0.3;0.7;PMX;INV;DUE;ECH;NCH;5046;0
5386;	6.73801;	3;100;0.3;0.7;OX;INV;DUE;ECH;NCH;5046;0
6478;	28.3789;	1;100;0.3;0.7;PMX;INV;DUE;FCH;GEN;5046;0
5242;	3.88426;	0;100;0.3;0.7;OX;INV;DUE;FCH;GEN;5046;0
6149;	21.8589;	3;100;0.3;0.7;PMX;INV;DUE;FCH;NCH;5046;0
5234;	3.72572;	2;100;0.3;0.7;OX;INV;DUE;FCH;NCH;5046;0
5678;	12.5248;	1;100;0.3;0.9;PMX;INV;TUR;ECH;GEN;5046;0
6070;	20.2933;	1;100;0.3;0.9;OX;INV;TUR;ECH;GEN;5046;0
6999;	38.7039;	2;100;0.3;0.9;PMX;INV;TUR;ECH;NCH;5046;0
6551;	29.8256;	2;100;0.3;0.9;OX;INV;TUR;ECH;NCH;5046;0
7466;	47.9588;	1;100;0.3;0.9;PMX;INV;TUR;FCH;GEN;5046;0
5947;	17.8557;	1;100;0.3;0.9;OX;INV;TUR;FCH;GEN;5046;0
6244;	23.7416;	2;100;0.3;0.9;PMX;INV;TUR;FCH;NCH;5046;0
6723;	33.2342;	1;100;0.3;0.9;OX;INV;TUR;FCH;NCH;5046;0
6544;	29.6869;	1;100;0.3;0.9;PMX;INV;DUE;ECH;GEN;5046;0
5308;	5.19223;	1;100;0.3;0.9;OX;INV;DUE;ECH;GEN;5046;0
6407;	26.9719;	3;100;0.3;0.9;PMX;INV;DUE;ECH;NCH;5046;0
5282;	4.67697;	2;100;0.3;0.9;OX;INV;DUE;ECH;NCH;5046;0
6484;	28.4978;	1;100;0.3;0.9;PMX;INV;DUE;FCH;GEN;5046;0
6098;	20.8482;	0;100;0.3;0.9;OX;INV;DUE;FCH;GEN;5046;0
5634;	11.6528;	1;100;0.3;0.9;PMX;INV;DUE;FCH;NCH;5046;0
5345;	5.92549;	3;100;0.3;0.9;OX;INV;DUE;FCH;NCH;5046;0
5473;	8.46215;	1;100;0.3;0.9;PMX;INV;TUR;ECH;GEN;5046;0
6253;	23.9199;	1;100;0.3;0.9;OX;INV;TUR;ECH;GEN;5046;0
5809;	15.1209;	2;100;0.3;0.9;PMX;INV;TUR;ECH;NCH;5046;0
5586;	10.7015;	2;100;0.3;0.9;OX;INV;TUR;ECH;NCH;5046;0
6574;	30.2814;	1;100;0.3;0.9;PMX;INV;TUR;FCH;GEN;5046;0
6920;	37.1383;	1;100;0.3;0.9;OX;INV;TUR;FCH;GEN;5046;0
7214;	42.9647;	1;100;0.3;0.9;PMX;INV;TUR;FCH;NCH;5046;0
6006;	19.025;	1;100;0.3;0.9;OX;INV;TUR;FCH;NCH;5046;0
